Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
哈啰出行,UI,20k-40k,30,,1.5,2
上海只二网络科技有限公司,视觉设计师,12k-24k,18,,2.5,5
缔安,UI设计师,8k-13k,10.5,,3,7
Soul App,ui设计师,25k-35k,30,,3.5,3
独立日,UI设计师,12k-18k,15,,4,3
鼐鼐家软件,UI设计师,10k-15k,12.5,,4.5,3
华院数据,UI设计师,8k-15k,11.5,,5,3
上海百途归一智能科技有限公司,ui设计师,10k-20k,15,,6,4
叶檀财经,UI设计,8k-12k,10,,6.5,5
爸妈营,UI设计师,9k-13k,11,,7,7
不懂网络,视觉设计师,12k-18k,15,,7.5,10
上海寰溪科技,UI设计师,15k-30k,22.5,,8,7
UCloud,UI设计师,15k-30k,22.5,,8.5,6
天会皓闻,UI设计师,10k-20k,15,,9,21
菜花传媒,UI,15k-20k,17.5,,9.5,2
哈啰出行,UI,20k-40k,30,,10,16
上海只二网络科技有限公司,视觉设计师,12k-24k,18,,10.5,7
缔安,UI设计师,8k-13k,10.5,,11,11
Soul App,ui设计师,25k-35k,30,,11.5,23
独立日,UI设计师,12k-18k,15,,12,12
鼐鼐家软件,UI设计师,10k-15k,12.5,,12.5,33
华院数据,UI设计师,8k-15k,11.5,,13,3
上海百途归一智能科技有限公司,ui设计师,10k-20k,15,,13.5,8
叶檀财经,UI设计,8k-12k,10,,14,10
爸妈营,UI设计师,9k-13k,11,,14.5,1
不懂网络,视觉设计师,12k-18k,15,,15,61
上海寰溪科技,UI设计师,15k-30k,22.5,,16,9
UCloud,UI设计师,15k-30k,22.5,,16.5,1
天会皓闻,UI设计师,10k-20k,15,,17,3
菜花传媒,UI,15k-20k,17.5,,17.5,19
和沁,视觉设计师,8k-16k,12,,18,8
上海只二网络科技有限公司,资深UI设计师,15k-30k,22.5,,18.5,2
名片全能王,UI设计师,10k-20k,15,,19,5
Gridsum 国双,UI设计师（上海）,10k-20k,15,,20,46
尚诚消费金融,视觉设计,10k-15k,12.5,,20.5,1
新核云,UI设计师,8k-15k,11.5,,21,2
游卡桌游,UI设计师,20k-25k,22.5,,21.5,6
特赞|Tezign,UI设计师,12k-24k,18,,22.5,39
italki,UX/UI Designer,10k-20k,15,,23,2
菜花传媒,视觉设计师,12k-15k,13.5,,24,3
55海淘,UI设计师,10k-18k,14,,25,10
趣头条,资深UI设计师,18k-30k,24,,25.5,1
莉莉丝游戏,UI及平面设计师,10k-20k,15,,27,1
上海耐西,UI设计师,10k-20k,15,,27.5,2
稻壳互联,视觉设计师,10k-20k,15,,30,13
italki,UX/UI Designer,10k-20k,15,,32.5,2
智慧芽,Senior UX & UI Designer,15k-25k,20,,35,2
互易网（厂家到厂家）,UI设计师,15k-25k,20,,,
红星美凯龙互联网集团,高级UI设计师,15k-25k,20,,,
微知,资深UI设计师,15k-20k,17.5,,,
蜂雀网络,资深ui设计师,12k-20k,16,,,
上海冀律信息科技有限公司,ui设计师,11k-16k,13.5,,,
NEO,UX/UI Designer,14k-28k,21,,,
海万科技,UI设计,11k-15k,13,,,
别样app,视觉设计师-运营方向,15k-25k,20,,,
连咖啡,UI设计师,10k-18k,14,,,
电银信息,交互兼视觉设计,15k-30k,22.5,,,
威斯科技,ui设计专家,28k-42k,35,,,
优梦,视觉设计师,10k-15k,12.5,,,
怪猫游戏,游戏UI设计师,10k-15k,12.5,,,
italki,Senior UI Designer,15k-22k,18.5,,,
爱库存,视觉设计师,15k-25k,20,,,
Abox壹盒,视觉设计师,12k-18k,15,,,
别样app,高级UI设计师,15k-25k,20,,,
海万科技,UI设计师,10k-16k,13,,,
CloudChef,视觉设计,10k-15k,12.5,,,
沪江,视觉设计师-营销视觉方向 (MJ001279),10k-20k,15,,,
MU,视觉设计师,7k-12k,9.5,,,
上海万粒,资深视觉设计师,19k-27k,23,,,
哈啰出行,视觉设计专家,25k-35k,30,,,
上海耐西,高级UI设计师,10k-20k,15,,,
上海墨鹍,UI,15k-20k,17.5,,,
上海冀律信息科技有限公司,产品美术/UI设计,10k-15k,12.5,,,
菜花传媒,高级视觉设计师,18k-25k,21.5,,,
阅文集团,界面视觉设计师,18k-30k,24,,,
酷橙游戏,UI设计师,8k-16k,12,,,
毅诺网络科技,游戏UI设计师,10k-15k,12.5,,,
网易,UI设计实习生,2k-4k,3,,,
原数民,UI设计师,6k-8k,7,,,
游族网络,UI设计师,15k-23k,19,,,
海万科技,UI/UE设计师,12k-15k,13.5,,,
稻壳互联,资深视觉设计师,12k-24k,18,,,
NIO蔚来,高级ui设计师,18k-25k,21.5,,,
万科,视觉设计师,15k-30k,22.5,,,
NSOC大数据安全智能,UI设计师,8k-15k,11.5,,,
