
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
英语流利说,交互设计师,15k-25k,20.0,,“上市公司 人工智能 硅谷文化 免费三餐”,"移动互联网,教育",上市公司,2000人以上
猫眼电影,交互设计师,20k-40k,30.0,,"“行业巨头,丰厚薪资,福利多多,氛围好”","移动互联网,文化娱乐",未融资,500-2000人
枭嵘科技,交互设计师,5k-10k,7.5,,"“帅哥靓女,口粮充足,交通便利,前景无限”",移动互联网,天使轮,15-50人
安居客,高级交互设计师,15k-26k,20.5,,"“股票期权,技术牛,带薪假,国外游”",移动互联网,上市公司,500-2000人
ezbuy,交互设计师,12k-24k,18.0,,"“期权,五险一金,弹性办公,跨境电商”","电子商务,生活服务",C轮,500-2000人
Soul App,交互设计师,20k-40k,30.0,,"“上升空间,高薪资,扁平管理”","社交网络,文化娱乐",C轮,150-500人
东方看点,交互设计师,15k-25k,20.0,,“日活百万产品；核心团队；晋升空间大”,"移动互联网,社交网络",不需要融资,150-500人
美团点评,交互设计师,15k-30k,22.5,,"“平台大,发展空间大”","移动互联网,O2O",上市公司,2000人以上
完美世界,交互设计师,15k-30k,22.5,,“项目稳定 福利待遇好”,"移动互联网,游戏",上市公司,2000人以上
毅诺网络科技,交互设计师,12k-20k,16.0,,“零食下午茶，定期团建，节日福利，年轻团队”,"移动互联网,广告营销",A轮,50-150人
红星美凯龙,交互设计师,12k-22k,17.0,,“美女如云 专业培训 下午茶零食 团建”,其他,上市公司,2000人以上
万科,交互设计师,15k-30k,22.5,,“福利好，大平台，发展空间大，互联网变革”,"生活服务,硬件",上市公司,2000人以上
关爱通,交互设计师,10k-20k,15.0,,"“福利好,假期多,补充医疗金,年终奖金”","电子商务,企业服务",未融资,150-500人
上海小牛互娱智能科技有限公司,交互设计师,15k-25k,20.0,,“年终奖”,移动互联网,未融资,150-500人
盈通股份,交互设计师,13k-17k,15.0,,“优质行业，前景广阔”,"移动互联网,金融",未融资,50-150人
英语流利说,交互设计师,15k-25k,20.0,,“上市公司 人工智能 硅谷文化 免费三餐”,"移动互联网,教育",上市公司,2000人以上
猫眼电影,交互设计师,20k-40k,30.0,,"“行业巨头,丰厚薪资,福利多多,氛围好”","移动互联网,文化娱乐",未融资,500-2000人
枭嵘科技,交互设计师,5k-10k,7.5,,"“帅哥靓女,口粮充足,交通便利,前景无限”",移动互联网,天使轮,15-50人
安居客,高级交互设计师,15k-26k,20.5,,"“股票期权,技术牛,带薪假,国外游”",移动互联网,上市公司,500-2000人
ezbuy,交互设计师,12k-24k,18.0,,"“期权,五险一金,弹性办公,跨境电商”","电子商务,生活服务",C轮,500-2000人
Soul App,交互设计师,20k-40k,30.0,,"“上升空间,高薪资,扁平管理”","社交网络,文化娱乐",C轮,150-500人
东方看点,交互设计师,15k-25k,20.0,,“日活百万产品；核心团队；晋升空间大”,"移动互联网,社交网络",不需要融资,150-500人
美团点评,交互设计师,15k-30k,22.5,,"“平台大,发展空间大”","移动互联网,O2O",上市公司,2000人以上
完美世界,交互设计师,15k-30k,22.5,,“项目稳定 福利待遇好”,"移动互联网,游戏",上市公司,2000人以上
毅诺网络科技,交互设计师,12k-20k,16.0,,“零食下午茶，定期团建，节日福利，年轻团队”,"移动互联网,广告营销",A轮,50-150人
红星美凯龙,交互设计师,12k-22k,17.0,,“美女如云 专业培训 下午茶零食 团建”,其他,上市公司,2000人以上
万科,交互设计师,15k-30k,22.5,,“福利好，大平台，发展空间大，互联网变革”,"生活服务,硬件",上市公司,2000人以上
关爱通,交互设计师,10k-20k,15.0,,"“福利好,假期多,补充医疗金,年终奖金”","电子商务,企业服务",未融资,150-500人
上海小牛互娱智能科技有限公司,交互设计师,15k-25k,20.0,,“年终奖”,移动互联网,未融资,150-500人
盈通股份,交互设计师,13k-17k,15.0,,“优质行业，前景广阔”,"移动互联网,金融",未融资,50-150人
英语流利说,资深交互设计师,15k-30k,22.5,,“办公环境棒”,"移动互联网,教育",上市公司,2000人以上
UCloud,交互设计师,10k-20k,15.0,,"“六险一金,领导好,独角兽公司,弹性工作”","数据服务,企业服务",D轮及以上,500-2000人
ZStack,交互设计师,12k-20k,16.0,,"“阿里云战投,福利好,氛围好,提升快”","数据服务,信息安全",B轮,150-500人
美团点评,交互设计师-金融,20k-40k,30.0,,"“平台大,福利好”","移动互联网,O2O",上市公司,2000人以上
毒APP,高级交互设计师（毒app）,20k-40k,30.0,,“一年多薪 核心产品 扁平管理 氛围好”,"移动互联网,电子商务",A轮,150-500人
红星美凯龙,高级交互设计师,12k-20k,16.0,,“平台大 福利好 组织氛围好 弹性工作”,其他,上市公司,2000人以上
讯真,高级交互设计师,15k-25k,20.0,,“福利健全”,电子商务,未融资,15-50人
享物说,资深交互设计师,25k-40k,32.5,,“薪资福利好 弹性工作 发展空间大”,移动互联网 生活服务,B轮,150-500人
上海纯米电子科技,交互设计经理,20k-35k,27.5,,"“小米生态链,互联网科技,上升空间,期权”","移动互联网,电子商务",C轮,50-150人
趣头条,交互设计leader,20k-35k,27.5,,"“行业独角兽,技术部助理,工作氛围好,弹性”",移动互联网,上市公司,500-2000人
拼多多,资深交互设计师（商家侧）,25k-50k,37.5,,"“岗位前景好,逻辑挑战多,发展全面”","电子商务,移动互联网",上市公司,2000人以上
阅文集团,交互设计师,15k-30k,22.5,,“五险一金；发展空间大；团队建设”,移动互联网,上市公司,500-2000人
哈啰出行,资深交互设计师,25k-35k,30.0,,"“带薪年假,年底多薪,交通补,餐补”","移动互联网,硬件",D轮及以上,2000人以上
上海小牛互娱智能科技有限公司,交互设计总监,30k-50k,40.0,,“发展平台好”,移动互联网,未融资,150-500人
海万科技,交互设计师,8k-14k,11.0,,"“体检,旅游,过节费,年终奖”","移动互联网,金融",不需要融资,500-2000人
拼多多,高级交互设计师（B端产品）,15k-25k,20.0,,"“包食宿,五险一金,16薪”","电子商务,移动互联网",上市公司,2000人以上
趣头条,高级交互设计师,25k-45k,35.0,,“发展空间大 扁平管理”,移动互联网,上市公司,500-2000人
美团点评,用户平台-资深交互设计师,25k-30k,27.5,,“互联网平台，扁平化管理”,"移动互联网,O2O",上市公司,2000人以上
饿了么,资深交互设计师/设计专家,20k-40k,30.0,,"“团队氛围好,福利佳,弹性工作制,发展机会多”",移动互联网,D轮及以上,2000人以上
韩创科技,交互设计师,18k-25k,21.5,,"“五险一金,周末双休,绩效奖金,带薪年假”","移动互联网,文化娱乐",不需要融资,500-2000人
2144游戏,交互设计师,8k-12k,10.0,,“福利好”,"移动互联网,游戏",不需要融资,150-500人
好未来,交互设计师,25k-40k,32.5,,“上市公司、年底奖金”,"移动互联网,教育",上市公司,2000人以上
Teambition,交互设计师,15k-30k,22.5,,"“高速发展,注重设计,氛围好”","移动互联网,企业服务",B轮,150-500人
薪太软（上海）科技发展有限公司,交互设计师,10k-15k,12.5,,"“做五休二,五险一金,各项补贴,年终奖金”","企业服务,移动互联网",A轮,150-500人
拍拍贷,资深交互设计专家,25k-35k,30.0,,“上市平台”,金融,上市公司,2000人以上
惠龙易通,交互设计师,5k-10k,7.5,,"“五险一金,免费住宿,免费班车”","移动互联网,电子商务",A轮,150-500人
哈啰出行,交互设计负责人,35k-50k,42.5,,"“14薪,E轮,期权激励”","移动互联网,硬件",D轮及以上,2000人以上
华住酒店集团,高级交互设计师,12k-24k,18.0,,“BAT 上市集团 团队气氛好”,"旅游,生活服务",上市公司,2000人以上
伊飒尔,交互设计师,8k-10k,9.0,,“国外旅游、免费体检”,移动互联网,A轮,50-150人
申通快递,产品交互设计师,9k-18k,13.5,,“五险一金 饭补 周末双休 节假日福利”,生活服务,上市公司,2000人以上
饿了么,高级/资深交互设计专家-饿了么UED,40k-60k,50.0,,"“团队融洽,福利佳,弹性工作制,发展机会多”",移动互联网,D轮及以上,2000人以上
韩创科技,交互设计师,12k-24k,18.0,,"“不加班,领导好,上升空间,带薪假超多”","移动互联网,文化娱乐",不需要融资,500-2000人
小站教育,交互设计,16k-22k,19.0,,"“平台机会好,岗位前景佳,团队合作好,办公环境佳”","移动互联网,教育",C轮,500-2000人
坤亿科技,交互设计师,12k-20k,16.0,,"“五险一金,周末双休,绩效奖金,上升空间”","电子商务,企业服务",不需要融资,50-150人
携程,高级交互设计师,15k-25k,20.0,,“氛围好”,"移动互联网,旅游",上市公司,2000人以上
路路由,交互设计师,15k-25k,20.0,,"“奔向IPO,极客氛围,扁平式管理,新技术”","移动互联网,O2O",A轮,150-500人
爱奇艺,交互设计师,15k-30k,22.5,,“弹性工作时间 高绩效奖金”,"广告营销,文化娱乐",上市公司,2000人以上
美味不用等,资深交互设计师,18k-25k,21.5,,"“美女如云,弹性工作制,福利好,健身房”","移动互联网,O2O",D轮及以上,500-2000人
华住酒店集团,交互设计实习生,3k-5k,4.0,,“BAT 上市集团 团队气氛好”,"旅游,生活服务",上市公司,2000人以上
faceui,交互设计师（实习生）,3k-5k,4.0,,"“大牛,交互团队,项目丰富”",移动互联网,天使轮,50-150人
爱回收,交互设计经理,25k-50k,37.5,,“互联网平台 晋升空间大 发展空间大”,"电子商务,O2O",D轮及以上,2000人以上
众链科技,交互设计师,10k-20k,15.0,,“福利好，前景好，综合意外险，加班零食”,"移动互联网,硬件",不需要融资,150-500人
凹凸租车,交互设计师,15k-25k,20.0,,“做五休二 办公环境佳”,"移动互联网,电子商务",C轮,500-2000人
贝壳,CIO线-资深交互设计师,25k-35k,30.0,,“团队氛围好公司福利多市中心上班交通便利”,"移动互联网,O2O",D轮及以上,2000人以上
斗象科技,高级交互设计师,12k-24k,18.0,,“扁平管理 期权激励 人脉积累 多元福利”,信息安全,B轮,50-150人
爱奇艺,交互设计师-广告产品方向,10k-16k,13.0,,“大平台，可发展前景好，可接触产品创新”,"广告营销,文化娱乐",上市公司,2000人以上
携程,交互设计师,15k-20k,17.5,,“旅游老大等你来”,"移动互联网,旅游",上市公司,2000人以上
faceui,交互设计师,6k-12k,9.0,,“专业交互团队 互联网公司 大牛”,移动互联网,天使轮,50-150人
阅文集团,阅文集团——交互设计师,15k-30k,22.5,,"“团队好,福利佳,发展快”",移动互联网,上市公司,500-2000人
