Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
爱库存,高级/资深Java开发工程师,30k-40k,35,,1.5,1
杏仁医生,Java 工程师,15k-30k,22.5,,4,1
缔安,Java开发,15k-25k,20,,5,1
上海迩格信息（构享）,JAVA工程师,12k-20k,16,,6,1
大搜车,Java研发工程师（上海）07-02-03,10k-15k,12.5,,10,5
飞饼信息,Java开发工程师,10k-15k,12.5,,10.5,1
NSOC大数据安全智能,JAVA开发工程师,8k-15k,11.5,,11,3
达达-京东到家,Java工程师,20k-35k,27.5,,11.5,11
瞬联软件科技（北京）有限公司,JAVA开发,13k-20k,16.5,,12,5
哈啰出行,Java开发工程师,15k-30k,22.5,,12.5,21
ZStack,Java开发工程师,15k-25k,20,,13,2
善诊,Java,20k-40k,30,,13.5,2
新核云,java开发工程师,10k-15k,12.5,,14,7
热璞科技,JAVA,22k-25k,23.5,,14.5,2
Datatist,Java开发工程师,15k-30k,22.5,,15,44
爱库存,高级/资深Java开发工程师,30k-40k,35,,15.5,8
杏仁医生,Java 工程师,15k-30k,22.5,,16,12
缔安,Java开发,15k-25k,20,,16.5,5
上海迩格信息（构享）,JAVA工程师,12k-20k,16,,17,4
大搜车,Java研发工程师（上海）07-02-03,10k-15k,12.5,,17.5,21
飞饼信息,Java开发工程师,10k-15k,12.5,,18,11
NSOC大数据安全智能,JAVA开发工程师,8k-15k,11.5,,18.5,2
达达-京东到家,Java工程师,20k-35k,27.5,,19,9
瞬联软件科技（北京）有限公司,JAVA开发,13k-20k,16.5,,19.5,5
哈啰出行,Java开发工程师,15k-30k,22.5,,20,52
ZStack,Java开发工程师,15k-25k,20,,20.5,3
善诊,Java,20k-40k,30,,21.5,11
新核云,java开发工程师,10k-15k,12.5,,22,4
热璞科技,JAVA,22k-25k,23.5,,22.5,71
Datatist,Java开发工程师,15k-30k,22.5,,23,2
鼐鼐家软件,Java开发工程师,8k-15k,11.5,,23.5,2
眸事网,java工程师,15k-30k,22.5,,24,9
朝夕网络,JAVA软件工程师,15k-25k,20,,25,20
岱嘉医学,java开发,13k-25k,19,,25.5,2
羽根信息,JAVA开发工程师,10k-20k,15,,26.5,4
CLPS,JAVA开发,15k-30k,22.5,,27,3
缔安,Java开发工程师,10k-20k,15,,27.5,11
一条视频,java开发工程师,15k-25k,20,,30,33
盛付通,Java软件工程师,12k-24k,18,,30.5,1
上海驰勤,Java开发工程师,12k-18k,15,,31,1
浦发卡中心,Java技术研发工程师,15k-30k,22.5,,32.5,8
人人视频,Java工程师,10k-20k,15,,35,10
上海知墨,Java,20k-25k,22.5,,37.5,11
同程金服,Java开发,15k-23k,19,,39,1
大搜车,资深Java研发工程师（上海）07-02-02,15k-30k,22.5,,40,7
特赞|Tezign,Java开发工程师,20k-40k,30,,,
途虎养车网,Java开发,10k-13k,11.5,,,
武汉佰钧成技术有限公司,java,17k-22k,19.5,,,
Gridsum 国双,Java 开发工程师,10k-20k,15,,,
商帆,java,13k-20k,16.5,,,
瞬联软件科技（北京）有限公司,Java开发工程师,10k-15k,12.5,,,
nonda 能塔智能,Java开发工程师,8k-16k,12,,,
博奥特科技,JAVA开发工程师,13k-18k,15.5,,,
上海睿渠,Java,14k-18k,16,,,
么么直播,Java工程师,10k-20k,15,,,
上海慧士嘉信息技术有限公司,java工程师,15k-20k,17.5,,,
圆通,Java开发工程师,15k-25k,20,,,
卯聚信息科技,java工程师,15k-25k,20,,,
快仓智能仓储,java软件开发工程师,15k-25k,20,,,
九曳供应链,JAVA软件工程师,12k-20k,16,,,
菜花传媒,JAVA开发工程师,15k-25k,20,,,
华院数据,java开发工程师,18k-25k,21.5,,,
51JOB,Java开发工程师,10k-20k,15,,,
CLPS,Java开发工程师,10k-18k,14,,,
叮咚买菜,Java软件开发,15k-25k,20,,,
网达软件,Java开发工程师,15k-20k,17.5,,,
融宇,java开发工程师,14k-22k,18,,,
舟恩信息,java,10k-16k,13,,,
威斯科技,java开发工程师,25k-45k,35,,,
共轨之家,Java开发工程师,10k-15k,12.5,,,
武汉佰钧成技术有限公司,java,14k-20k,17,,,
安硕信息（amarsoft）,JAVA开发工程师（上海）,10k-18k,14,,,
汇付,java开发工程师,18k-35k,26.5,,,
网新新思,Java开发工程师,12k-18k,15,,,
互易网（厂家到厂家）,Java开发工程师,15k-20k,17.5,,,
汇付,java开发工程师,12k-18k,15,,,
上海广拓信息技术有限公司,Java开发工程师,10k-15k,12.5,,,
言之有物科技,Java开发工程师,10k-20k,15,,,
速石科技,后端开发工程师-java,15k-25k,20,,,
上海砸立,资深Java工程师,26k-36k,31,,,
上海只二网络科技有限公司,资深java开发工程师,20k-40k,30,,,
井星科技,java开发,8k-16k,12,,,
博奥特科技,JAVA开发工程师,10k-20k,15,,,
喔噻科技,Java开发工程师,15k-30k,22.5,,,
南京慧明,java开发工程师,10k-18k,14,,,
大象点映,java开发工程师,15k-25k,20,,,
三少猩球,资深java开发工程师,20k-30k,25,,,
威斯科技,资深java,25k-45k,35,,,
坚果云,高级Java开发工程师,20k-40k,30,,,
奇虎360金融,Java开发工程师,20k-35k,27.5,,,
