Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
汉德森日用保健品（上海）有限公司,交互设计师,25k-30k,27.5,新零售,“补充公积金、商业保险、带薪年假、带薪病假”,电子商务 生活服务,不需要融资,
银科控股,交互设计,15k-25k,20.0,无线交互,“上市公司，福利好”,"移动互联网,金融",上市公司,
哈啰出行,交互设计师,15k-30k,22.5,团队建设,"“14薪,E轮,期权激励”","移动互联网,硬件",D轮及以上,
名片全能王,交互设计师,15k-25k,20.0,移动互联网,"“技术牛人多,工作氛围好,工作环境佳,领导好”",移动互联网,C轮,
安心记加班,交互设计师,15k-25k,20.0,年底双薪,“地铁周边 团队和谐”,移动互联网,B轮,
陆金所,251121-交互设计师,13k-26k,19.5,用户体验,"“五险一金,节日福利,带薪年假,采暖补贴”",金融,B轮,
GET,交互设计师,15k-30k,22.5,大数据,"“优秀团队,增长黑客,快递迭代,巨大空间”",金融,A轮,
智慧芽,交互设计师,20k-30k,25.0,大数据,"“弹性工作,绩效奖金,带薪年假”",移动互联网,D轮及以上,
Gridsum 国双,交互设计师（上海）,10k-20k,15.0,移动交互,"“年终奖金,六险一金,旅游体检,节日福利”","数据服务,企业服务",上市公司,
票牛网,交互设计师,15k-21k,18.0,节日礼物,"“完美的福利,竞争力薪酬,工作氛围好,上升空间大”","电子商务,移动互联网",B轮,
路路由,交互设计师,15k-25k,20.0,移动互联网,"“奔向IPO,极客氛围,扁平式管理,新技术”","移动互联网,O2O",A轮,
电银信息,交互设计,15k-30k,22.5,用户体验,“五险一金、公司团建、年度体检”,"移动互联网,电子商务",未融资,
朴存投资,交互设计师,16k-29k,22.5,移动互联网,"“周末双休,五险一金,节假日福利,带薪年假”","金融,其他",A轮,
趣头条,高级交互设计师,15k-25k,20.0,用户体验,“发展空间大 扁平管理”,移动互联网,上市公司,
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
汉德森日用保健品（上海）有限公司,交互设计师,25k-30k,27.5,,“补充公积金、商业保险、带薪年假、带薪病假”,电子商务 生活服务,不需要融资,
银科控股,交互设计,15k-25k,20.0,,“上市公司，福利好”,"移动互联网,金融",上市公司,
哈啰出行,交互设计师,15k-30k,22.5,,"“14薪,E轮,期权激励”","移动互联网,硬件",D轮及以上,
名片全能王,交互设计师,15k-25k,20.0,,"“技术牛人多,工作氛围好,工作环境佳,领导好”",移动互联网,C轮,
安心记加班,交互设计师,15k-25k,20.0,,“地铁周边 团队和谐”,移动互联网,B轮,
陆金所,251121-交互设计师,13k-26k,19.5,,"“五险一金,节日福利,带薪年假,采暖补贴”",金融,B轮,
GET,交互设计师,15k-30k,22.5,,"“优秀团队,增长黑客,快递迭代,巨大空间”",金融,A轮,
智慧芽,交互设计师,20k-30k,25.0,,"“弹性工作,绩效奖金,带薪年假”",移动互联网,D轮及以上,
Gridsum 国双,交互设计师（上海）,10k-20k,15.0,,"“年终奖金,六险一金,旅游体检,节日福利”","数据服务,企业服务",上市公司,
票牛网,交互设计师,15k-21k,18.0,,"“完美的福利,竞争力薪酬,工作氛围好,上升空间大”","电子商务,移动互联网",B轮,
路路由,交互设计师,15k-25k,20.0,,"“奔向IPO,极客氛围,扁平式管理,新技术”","移动互联网,O2O",A轮,
电银信息,交互设计,15k-30k,22.5,,“五险一金、公司团建、年度体检”,"移动互联网,电子商务",未融资,
朴存投资,交互设计师,16k-29k,22.5,,"“周末双休,五险一金,节假日福利,带薪年假”","金融,其他",A轮,
趣头条,高级交互设计师,15k-25k,20.0,,“发展空间大 扁平管理”,移动互联网,上市公司,
沪江,高级交互设计师,15k-25k,20.0,,“优厚福利，发展空间大，弹性工作制”,"移动互联网,教育",D轮及以上,
汉德森日用保健品（上海）有限公司,交互设计师,25k-30k,27.5,,“补充公积金、商业保险、带薪年假、带薪病假”,电子商务 生活服务,不需要融资,
银科控股,交互设计,15k-25k,20.0,,“上市公司，福利好”,"移动互联网,金融",上市公司,
哈啰出行,交互设计师,15k-30k,22.5,,"“14薪,E轮,期权激励”","移动互联网,硬件",D轮及以上,
名片全能王,交互设计师,15k-25k,20.0,,"“技术牛人多,工作氛围好,工作环境佳,领导好”",移动互联网,C轮,
安心记加班,交互设计师,15k-25k,20.0,,“地铁周边 团队和谐”,移动互联网,B轮,
陆金所,251121-交互设计师,13k-26k,19.5,,"“五险一金,节日福利,带薪年假,采暖补贴”",金融,B轮,
GET,交互设计师,15k-30k,22.5,,"“优秀团队,增长黑客,快递迭代,巨大空间”",金融,A轮,
智慧芽,交互设计师,20k-30k,25.0,,"“弹性工作,绩效奖金,带薪年假”",移动互联网,D轮及以上,
Gridsum 国双,交互设计师（上海）,10k-20k,15.0,,"“年终奖金,六险一金,旅游体检,节日福利”","数据服务,企业服务",上市公司,
票牛网,交互设计师,15k-21k,18.0,,"“完美的福利,竞争力薪酬,工作氛围好,上升空间大”","电子商务,移动互联网",B轮,
路路由,交互设计师,15k-25k,20.0,,"“奔向IPO,极客氛围,扁平式管理,新技术”","移动互联网,O2O",A轮,
电银信息,交互设计,15k-30k,22.5,,“五险一金、公司团建、年度体检”,"移动互联网,电子商务",未融资,
朴存投资,交互设计师,16k-29k,22.5,,"“周末双休,五险一金,节假日福利,带薪年假”","金融,其他",A轮,
趣头条,高级交互设计师,15k-25k,20.0,,“发展空间大 扁平管理”,移动互联网,上市公司,
沪江,高级交互设计师,15k-25k,20.0,,“优厚福利，发展空间大，弹性工作制”,"移动互联网,教育",D轮及以上,
诺亚财富,交互设计师,10k-20k,15.0,,"“待遇好,环境优,美女多,福利佳”",金融,上市公司,
金大师,交互设计师,15k-25k,20.0,,“视频公司，氛围好”,"移动互联网,金融",上市公司,
Teambition,交互设计师,15k-30k,22.5,,"“高速发展,注重设计,氛围好”","移动互联网,企业服务",B轮,
趣头条,交互设计leader,20k-35k,27.5,,"“行业独角兽,技术部助理,工作氛围好,弹性”",移动互联网,上市公司,
前隆科技,高级交互设计师,15k-25k,20.0,,“腾讯大博士亲带，福利好”,金融,B轮,
UCloud,校招-视觉/交互设计师,10k-20k,15.0,,"“六险一金,领导好,独角兽公司,弹性工作”","数据服务,企业服务",D轮及以上,
海万科技,交互设计师,8k-14k,11.0,,"“体检,旅游,过节费,年终奖”","移动互联网,金融",不需要融资,
CreditX,交互设计师,10k-20k,15.0,,"“扁平管理,弹性工作,福利优厚,精英团队”","金融,数据服务",B轮,
