公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
中国平安财产保险股份有限公司,平安产险,2000人以上,上市公司,福田区,数据分析与挖掘岗,3-5年,本科,15k-25k,丰厚的年终奖
维沃移动通信有限公司,vivo,2000人以上,未融资,宝安区,【急招】数据分析师（互联网）,3-5年,本科,20k-30k,"平台大,海量用户,技术氛围好,个人成长快"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,南山区,11124Z-数据分析工程师-云技术服务,3-5年,本科,20k-40k,"五险一金,带薪年假,节日福利,绩效奖金"
深圳雨燕网络科技有限公司,雨燕网络,50-150人,不需要融资,南山区,数据分析主管,5-10年,本科,15k-25k,5天7小时 扁平化管理
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,数据分析（2020届）,不限,不限,3k-4k,"六险一金,弹性时间,空间大,氛围好"
康美中药材数据信息服务有限公司,康美数据,50-150人,上市公司,福田区,数据分析师,1-3年,本科,8k-15k,五险一金 周末双休
深圳市买买提信息科技有限公司,买买提信息科技,150-500人,不需要融资,福田区,数据分析师,1-3年,本科,10k-15k,环境好，氛围佳，福利好，上升空间大
深圳中业兴融互联网金融服务有限公司,深圳中业兴融,500-2000人,A轮,南山区,数据分析师,1-3年,本科,10k-20k,综合型集团 年轻又耐撕 低调有实力
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,高级数据分析工程师（线上讲师）,3-5年,本科,2k-3k,行业发声好机会，打造个人品牌
深圳来电科技有限公司,来电科技,500-2000人,A轮,南山区,高级/资深数据分析师,5-10年,本科,20k-30k,行业独角兽、发展空间大、薪资福利好
马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,福田区,数据分析经理,5-10年,本科,20k-30k,业务体量大 工作挑战高
深圳市几素科技有限公司,几素,15-50人,未融资,龙岗区,数据分析专员,应届毕业生,不限,4k-5k,五险一金 员工旅游 年终奖金 弹性工作
OPPO广东移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,数据分析专家,3-5年,本科,20k-40k,环境优越
深圳市君仁科技发展有限公司,深圳市君仁科技发展有限公司,50-150人,未融资,南山区,（急招）数据分析师,1-3年,本科,8k-12k,"周末双休,绩效奖金,假日福利，奖金丰厚"
顺丰速运有限公司,顺丰速运,2000人以上,上市公司,福田区,高级数据分析师,5-10年,本科,20k-30k,大平台 氛围好 福利完善 晋升空间
维沃移动通信有限公司,vivo,2000人以上,未融资,福田区,助理数据分析专员,1-3年,本科,6k-8k,"弹性工作,团队大牛多,试用期全薪"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,福田区,11219N-(CW)资深数据分析师,5-10年,本科,15k-30k,"五险一金,绩效奖金,带薪年假,定期体检"
上海陆家嘴国际金融资产交易市场股份有限公司,陆金所,2000人以上,B轮,福田区,25212E-数据分析岗,3-5年,本科,10k-15k,"五险一金,带薪年假,节日福利,高温补贴"
深圳市乐易网络股份有限公司,乐易网络,150-500人,A轮,南山区,数据分析,3-5年,硕士,15k-30k,"高配团队,年终奖,两次调薪,带薪旅行"
深圳小步网络科技有限公司,小步网络,150-500人,B轮,宝安区,数据分析师,3-5年,本科,20k-40k,高薪酬股票期权热门海外业务氛围好牛人多
深圳市优乐学科技有限公司,优乐学科技,150-500人,B轮,南山区,数据分析师,3-5年,本科,11k-20k,带薪年假，五险一金，上班不打卡
深圳市康拓普信息技术有限公司,康拓普,500-2000人,不需要融资,福田区,数据分析师（电力行业）,3-5年,本科,15k-20k,极星大数据平台 数据仓库
深圳市和讯华谷信息技术有限公司,极光,500-2000人,上市公司,南山区,数据分析师,1-3年,本科,9k-15k,"五险一金,奖金丰厚,福利多多,定期体检"
深圳市一面网络技术有限公司,一面数据,50-150人,A轮,南山区,数据分析师（数据科学方向）,1-3年,本科,10k-20k,大数据人工智能；清华系大牛；技术氛围浓
深圳市立创电子商务有限公司,立创商城,150-500人,A轮,福田区,数据分析师（商品方向）,3-5年,本科,15k-20k,"五险一金,周末双休,水果下午茶,"
上海懒人易健科技有限公司,懒人科技,50-150人,不需要融资,南山区,数据分析师,3-5年,本科,15k-27k,"独立自主,海量数据,节奏快,创新驱动"
深圳市乐家云计算有限公司,乐家云计算有限公司,50-150人,不需要融资,南山区,大数据分析师,1-3年,硕士,12k-24k,"16薪,五险一金,弹性工时"
武汉市追忆那年网络科技有限公司,忆年,50-150人,A轮,南山区,数据分析师,3-5年,本科,15k-30k,"SNS,薪资优渥,社交大咖"
深圳数位传媒科技有限公司,数位科技,150-500人,B轮,南山区,数据分析师,5-10年,本科,20k-30k,"14薪起,股票期权,技术大牛,氛围融洽"
海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,150-500人,未融资,南山区,数据分析师,3-5年,本科,15k-20k,高额年终奖 团建 体检 旅游
维沃移动通信有限公司,vivo,2000人以上,未融资,宝安区,高级\资深数据分析师,5-10年,本科,25k-45k,亿级用户、大牛团队、发展空间大
深圳市乐易网络股份有限公司,乐易网络,150-500人,A轮,南山区,数据分析,1-3年,硕士,10k-20k,"精品手游,高配团队,年终奖,带薪旅行"
深圳市一面网络技术有限公司,一面数据,50-150人,A轮,南山区,数据分析师（数据资产方向）,1-3年,本科,10k-20k,大数据人工智能；清华系大牛；技术氛围浓
深圳市万屏时代科技有限公司,万屏时代,15-50人,A轮,南山区,数据分析师,3-5年,本科,15k-25k,行业独角兽、工作氛围好、发展空间巨大
浙江土拨鼠网络科技有限公司,土拨鼠,150-500人,A轮,宝安区,数据分析师,1-3年,大专,8k-15k,"地铁口便捷,发展空间大,重视程度高"
深圳数位传媒科技有限公司,数位科技,150-500人,B轮,南山区,数据分析师,5-10年,本科,25k-50k,"14薪起,股票期权,大牛团队,技术氛围好"
杭州观数信息科技有限公司,观远数据,50-150人,A轮,南山区,数据分析师,1-3年,本科,15k-30k,牛人团队 成长空间 期权激励 独当一面
北京希为科技有限公司,希为科技,50-150人,不需要融资,罗湖区,数据分析师,3-5年,本科,15k-25k,"技术领先,14薪,六险一金,团队优秀"
风变科技（深圳）有限公司,风变科技（深圳）有限公司,150-500人,A轮,南山区,数据分析师,1-3年,硕士,10k-15k,驱动开发，团队年轻，牛人指导
深圳市立创电子商务有限公司,立创商城,150-500人,A轮,福田区,数据分析师（用户方向）,1-3年,本科,15k-20k,周末双休，五险一金，下午茶，工作氛围好
