Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
舟恩信息,产品经理,10k-16k,13,,2.5,1
皇族电子竞技俱乐部RNG,产品经理,25k-50k,37.5,,3,2
比菜价,产品经理,8k-15k,11.5,,4.5,1
90玩,产品经理,9k-11k,10,,6,2
缔安,产品经理,10k-16k,13,,8,3
ZStack,产品经理,10k-16k,13,,8.5,1
鼐鼐家软件,产品经理,10k-20k,15,,9,3
"米谟科技（Mint Muse, Inc.）",产品经理,9k-18k,13.5,,9.5,2
GeexFinance,产品经理,10k-20k,15,,10,4
智众医疗,产品经理,15k-30k,22.5,,10.5,1
独立日,产品经理,18k-25k,21.5,,11.5,12
华院数据,产品经理,15k-25k,20,,12,10
Datatist,产品经理,15k-30k,22.5,,12.5,16
1Token.Trade,产品经理,20k-40k,30,,13,7
骑象少年,产品经理,10k-20k,15,,13.5,3
舟恩信息,产品经理,10k-16k,13,,14,7
皇族电子竞技俱乐部RNG,产品经理,25k-50k,37.5,,14.5,2
比菜价,产品经理,8k-15k,11.5,,15,57
90玩,产品经理,9k-11k,10,,15.5,2
缔安,产品经理,10k-16k,13,,16,11
ZStack,产品经理,10k-16k,13,,16.5,2
鼐鼐家软件,产品经理,10k-20k,15,,17,4
"米谟科技（Mint Muse, Inc.）",产品经理,9k-18k,13.5,,17.5,22
GeexFinance,产品经理,10k-20k,15,,18,9
智众医疗,产品经理,15k-30k,22.5,,18.5,2
独立日,产品经理,18k-25k,21.5,,19,1
华院数据,产品经理,15k-25k,20,,19.5,1
Datatist,产品经理,15k-30k,22.5,,20,66
1Token.Trade,产品经理,20k-40k,30,,21,6
骑象少年,产品经理,10k-20k,15,,21.5,14
比菜价,产品经理,10k-20k,15,,22.5,69
钱研社,产品经理,10k-15k,12.5,,23,2
微知,产品经理,20k-30k,25,,24,10
Student.com,产品经理,15k-25k,20,,25,23
眸事网,产品经理,12k-20k,16,,26.5,5
上海百途归一智能科技有限公司,产品经理,12k-24k,18,,27,2
新核云,产品经理,20k-30k,25,,27.5,15
票牛网,产品经理,15k-28k,21.5,,28,1
天易科技,产品经理,10k-15k,12.5,,30,25
CQASO,产品经理,15k-25k,20,,32.5,7
致维网络,产品经理,8k-10k,9,,35,1
叶檀财经,产品经理,10k-15k,12.5,,37.5,11
圆通,产品经理,12k-24k,18,,40,4
工程师爸爸,产品经理,20k-40k,30,,50,1
源蚁科技 RootAnt,产品经理,10k-20k,15,,,
联众金融,产品经理,13k-20k,16.5,,,
银科控股,产品经理,15k-25k,20,,,
天会皓闻,产品经理,15k-25k,20,,,
蓦然认知科技,产品经理,15k-20k,17.5,,,
树融科技,产品经理--大数据产品,15k-25k,20,,,
云势软件,产品经理,20k-35k,27.5,,,
italki,产品经理,15k-25k,20,,,
Datatist,产品经理,10k-20k,15,,,
比菜价,产品经理-前端,10k-20k,15,,,
联蔚科技,产品经理,20k-30k,25,,,
哈啰出行,产品经理,18k-36k,27,,,
途虎养车网,产品经理,15k-20k,17.5,,,
菜花传媒,产品经理,10k-20k,15,,,
卯聚信息科技,产品经理,15k-30k,22.5,,,
顺网科技,产品经理（上海）,15k-20k,17.5,,,
上海彩付,产品经理,15k-25k,20,,,
薄荷,产品经理,15k-30k,22.5,,,
圆通,产品经理（货代）,35k-65k,50,,,
互易网（厂家到厂家）,产品经理,15k-20k,17.5,,,
TapTap,产品经理,20k-30k,25,,,
上海广拓信息技术有限公司,产品经理,12k-18k,15,,,
腾讯大申网,产品经理,8k-15k,11.5,,,
弘连网络,产品经理,9k-18k,13.5,,,
源慧信息,产品经理,10k-15k,12.5,,,
上海知墨,产品经理,10k-20k,15,,,
麦图科技,产品经理,12k-24k,18,,,
海万科技,产品经理,8k-15k,11.5,,,
亿通国际,产品经理,8k-15k,11.5,,,
快牛金科,产品经理,15k-25k,20,,,
Spacecycle,产品经理,15k-20k,17.5,,,
圆通,产品经理(J10323),12k-24k,18,,,
青桐资本,产品经理,10k-18k,14,,,
UCloud,校招-产品经理,10k-20k,15,,,
美莱集团,产品经理,18k-35k,26.5,,,
易路,产品经理,12k-17k,14.5,,,
达观数据,产品经理,15k-25k,20,,,
特赞|Tezign,产品经理,20k-40k,30,,,
普惠融通科技（北京）有限公司,产品经理,20k-35k,27.5,,,
新潮传媒,产品经理(J10332),15k-30k,22.5,,,
上海劳勤,产品经理,20k-25k,22.5,,,
稻壳互联,产品经理,10k-20k,15,,,
华云数据,303-高级产品经理,20k-35k,27.5,,,
叶檀财经,产品经理/总监,15k-30k,22.5,,,
